Date,PX_LAST,PX_INVERSE
9/1/2014,6.1435,0.1628
8/29/2014,6.1437,0.1628
8/28/2014,6.1438,0.1628
8/27/2014,6.1434,0.1628
8/26/2014,6.1537,0.1625
8/25/2014,6.1533,0.1625
8/22/2014,6.1524,0.1625
8/21/2014,6.1516,0.1626
8/20/2014,6.1408,0.1628
8/19/2014,6.1416,0.1628
8/18/2014,6.1434,0.1628
8/15/2014,6.1473,0.1627
8/14/2014,6.1531,0.1625
8/13/2014,6.1541,0.1625
8/12/2014,6.1582,0.1624
8/11/2014,6.1537,0.1625
8/8/2014,6.1566,0.1624
8/7/2014,6.1608,0.1623
8/6/2014,6.1631,0.1623
8/5/2014,6.1706,0.1621
8/4/2014,6.179,0.1618
8/1/2014,6.1796,0.1618
7/31/2014,6.1738,0.162
7/30/2014,6.1721,0.162
7/29/2014,6.1816,0.1618
7/28/2014,6.1869,0.1616
7/25/2014,6.1916,0.1615
7/24/2014,6.1944,0.1614
7/23/2014,6.1988,0.1613
7/22/2014,6.2039,0.1612
7/21/2014,6.2093,0.161
7/18/2014,6.208,0.1611
7/17/2014,6.2043,0.1612
7/16/2014,6.2048,0.1612
7/15/2014,6.208,0.1611
7/14/2014,6.2059,0.1611
7/11/2014,6.2037,0.1612
7/10/2014,6.2021,0.1612
7/9/2014,6.1987,0.1613
7/8/2014,6.2023,0.1612
7/7/2014,6.204,0.1612
7/4/2014,6.205,0.1612
7/3/2014,6.2127,0.161
7/2/2014,6.2101,0.161
7/1/2014,6.2009,0.1613
6/30/2014,6.2033,0.1612
6/27/2014,6.2179,0.1608
6/26/2014,6.2248,0.1606
6/25/2014,6.2344,0.1604
6/24/2014,6.2311,0.1605
6/23/2014,6.2264,0.1606
6/20/2014,6.2255,0.1606
6/19/2014,6.2289,0.1605
6/18/2014,6.2311,0.1605
6/17/2014,6.2262,0.1606
6/16/2014,6.2247,0.1607
6/13/2014,6.2111,0.161
6/12/2014,6.2186,0.1608
6/11/2014,6.2285,0.1606
6/10/2014,6.2257,0.1606
6/9/2014,6.2385,0.1603
6/6/2014,6.25,0.16
6/5/2014,6.2548,0.1599
6/4/2014,6.2503,0.16
6/3/2014,6.2544,0.1599
5/30/2014,6.2473,0.1601
5/29/2014,6.2393,0.1603
5/28/2014,6.2552,0.1599
5/27/2014,6.248,0.1601
5/26/2014,6.2392,0.1603
5/23/2014,6.2362,0.1604
5/22/2014,6.2351,0.1604
5/21/2014,6.2338,0.1604
5/20/2014,6.2378,0.1603
5/19/2014,6.2373,0.1603
5/16/2014,6.2335,0.1604
5/15/2014,6.2298,0.1605
5/14/2014,6.229,0.1605
5/13/2014,6.2287,0.1605
5/12/2014,6.2372,0.1603
5/9/2014,6.2273,0.1606
5/8/2014,6.2273,0.1606
5/7/2014,6.2348,0.1604
5/6/2014,6.2263,0.1606
5/5/2014,6.245,0.1601
4/30/2014,6.2593,0.1598
4/29/2014,6.258,0.1598
4/28/2014,6.2526,0.1599
4/25/2014,6.2529,0.1599
4/24/2014,6.2504,0.16
4/23/2014,6.238,0.1603
4/22/2014,6.237,0.1603
4/21/2014,6.2273,0.1606
4/18/2014,6.2243,0.1607
4/17/2014,6.2187,0.1608
4/16/2014,6.222,0.1607
4/15/2014,6.221,0.1607
4/14/2014,6.2177,0.1608
4/11/2014,6.2106,0.161
4/10/2014,6.2125,0.161
4/9/2014,6.2,0.1613
4/8/2014,6.1967,0.1614
4/4/2014,6.2123,0.161
4/3/2014,6.2115,0.161
4/2/2014,6.2055,0.1611
4/1/2014,6.2068,0.1611
3/31/2014,6.2168,0.1609
3/28/2014,6.2128,0.161
3/27/2014,6.2143,0.1609
3/26/2014,6.2089,0.1611
3/25/2014,6.2002,0.1613
3/24/2014,6.1888,0.1616
3/21/2014,6.225,0.1606
3/20/2014,6.2286,0.1605
3/19/2014,6.1942,0.1614
3/18/2014,6.195,0.1614
3/17/2014,6.1775,0.1619
3/14/2014,6.15,0.1626
3/13/2014,6.137,0.1629
3/12/2014,6.1457,0.1627
3/11/2014,6.1402,0.1629
3/10/2014,6.1392,0.1629
3/7/2014,6.1285,0.1632
3/6/2014,6.1187,0.1634
3/5/2014,6.1286,0.1632
3/4/2014,6.143,0.1628
3/3/2014,6.146,0.1627
2/28/2014,6.1427,0.1628
2/27/2014,6.1286,0.1632
2/26/2014,6.1239,0.1633
2/25/2014,6.1245,0.1633
2/24/2014,6.0978,0.164
2/21/2014,6.0915,0.1642
2/20/2014,6.0842,0.1644
2/19/2014,6.0766,0.1646
2/18/2014,6.0675,0.1648
2/17/2014,6.0638,0.1649
2/14/2014,6.0684,0.1648
2/13/2014,6.0636,0.1649
2/12/2014,6.0619,0.165
2/11/2014,6.0609,0.165
2/10/2014,6.06,0.165
2/7/2014,6.0634,0.1649
1/30/2014,6.0598,0.165
1/29/2014,6.0558,0.1651
1/28/2014,6.0508,0.1653
1/27/2014,6.048,0.1653
1/24/2014,6.0484,0.1653
1/23/2014,6.0517,0.1652
1/22/2014,6.0513,0.1653
1/21/2014,6.0504,0.1653
1/20/2014,6.0526,0.1652
1/17/2014,6.0496,0.1653
1/16/2014,6.0562,0.1651
1/15/2014,6.046,0.1654
1/14/2014,6.0409,0.1655
1/13/2014,6.0437,0.1655
1/10/2014,6.052,0.1652
1/9/2014,6.0554,0.1651
1/8/2014,6.0513,0.1653
1/7/2014,6.0512,0.1653
1/6/2014,6.0524,0.1652
1/3/2014,6.0517,0.1652
1/2/2014,6.0506,0.1653
12/31/2013,6.054,0.1652
12/30/2013,6.0618,0.165
12/27/2013,6.0689,0.1648
12/26/2013,6.0749,0.1646
12/25/2013,6.0711,0.1647
12/24/2013,6.0711,0.1647
12/23/2013,6.0708,0.1647
12/20/2013,6.0709,0.1647
12/19/2013,6.0713,0.1647
12/18/2013,6.0717,0.1647
12/17/2013,6.071,0.1647
12/16/2013,6.0714,0.1647
12/13/2013,6.0717,0.1647
12/12/2013,6.0713,0.1647
12/11/2013,6.0719,0.1647
12/10/2013,6.0712,0.1647
12/9/2013,6.0717,0.1647
12/6/2013,6.0816,0.1644
12/5/2013,6.0914,0.1642
12/4/2013,6.0915,0.1642
12/3/2013,6.0924,0.1641
12/2/2013,6.0928,0.1641
11/29/2013,6.093,0.1641
11/28/2013,6.0922,0.1641
11/27/2013,6.0925,0.1641
11/26/2013,6.0926,0.1641
11/25/2013,6.0927,0.1641
11/22/2013,6.0935,0.1641
11/21/2013,6.0928,0.1641
